Side,Task,Time,Max Angle,Duration (frames),Duration (seconds),Max Velocity,Min Distance
RIGHT,apple,66.12216392,119.3468735,257,2.136742485,114.2810163,135.521791
RIGHT,apple,69.96162307,116.9776174,302,2.5206884,89.044932,136.8865293
RIGHT,apple,102.2965465,138.979211,308,2.570768302,198.8895527,146.3026791
RIGHT,apple,108.8069337,143.6131293,338,2.821167812,148.5163153,125.8801198
RIGHT,apple,114.6996688,146.3872707,312,2.604154903,166.8541356,141.4968853
RIGHT,apple,119.7410456,143.8562157,198,1.652636766,235.5172507,144.1079926
RIGHT,hat,125.5670076,178.6779419,129,1.068371242,344.8343147,63.24974667
RIGHT,hat,131.3762762,179.8893573,257,2.136742485,121.9590207,87.14213556
RIGHT,hat,138.1704496,179.9373067,296,2.470608498,106.0219426,86.62891087
RIGHT,hat,146.7341128,179.9602554,263,2.186822387,110.4213521,40.19552576
RIGHT,parrot,153.3947398,156.4964944,343,2.854554413,99.69649989,2.152660408
RIGHT,parrot,159.8550471,153.3264253,249,2.069969282,94.28612806,18.46219517
RIGHT,parrot,166.732687,147.8154728,399,3.321966832,65.3213893,8.24032419
RIGHT,parrot,173.9775795,161.7459921,435,3.622446244,64.74869422,7.738948492
LEFT,apple,35.11388095,133.1884149,195,1.635163923,142.1173256,230.4795493
LEFT,apple,46.62745786,123.3417739,167,1.399160883,113.4216495,198.3731774
LEFT,apple,61.17535957,120.8664435,329,2.764607046,97.34488683,212.1255886
LEFT,apple,71.61006543,116.7222901,121,1.011441602,195.1085391,236.2266224
LEFT,hat,91.99061372,179.9857454,311,2.612890806,237.3877981,295.2364377
LEFT,hat,101.3970206,179.1630966,255,2.140884725,189.1415441,341.4710268
LEFT,hat,110.8539996,179.9337592,153,1.281159363,270.6657777,347.7683628
LEFT,parrot,122.3001471,165.4722068,195,1.635163923,304.1421845,113.9861256
LEFT,parrot,126.885349,170.0046532,211,1.770022804,333.8826842,115.8403144
LEFT,parrot,131.4368362,160.5505966,291,2.444317205,185.5464681,120.872464
